CNAPS号,银行名称,地址
************,************,************
"001368134002	","中国人民银行桐城市支行",""
"001368634008	","中国人民银行宿松县支行",""
"001371034019	","中国人民银行黄山支行",""
"001371034027	","中国人民银行徽州支行",""
"001361034006	","中国人民银行合肥中心支行营业部",""
"001427036003	","中国人民银行鹰潭市中心支行",""
"001428036008	","中国人民银行赣州市中心支行",""
"001403535009	","中国人民银行古田县支行",""
"001428436002	","中国人民银行信丰县支行",""
"001428536006	","中国人民银行大余县支行",""
"001428836003	","中国人民银行安远县支行",""
"001428936004	","中国人民银行龙南县支行",""
"001401235005	","人民银行邵武市支行",""
"001401535006	","人民银行建瓯市支行",""
"001401635000	","人民银行浦城县支行",""
"001403035004	","中国人民银行宁德市中心支行",""
"001403435003	","中国人民银行福安市支行",""
"001402235002	","人民银行武夷山市支行",""
"001403935005	","中国人民银行柘荣县支行",""
"001405335008	","中国人民银行永定县支行",""
"001405435001	","中国人民银行上杭县支行",""
"001405535005	","中国人民银行武平县支行",""
"001669550006	","中国人民银行武隆县支行",""
"001671051003	","中国人民银行宜宾市中心支行",""
"001671651001	","中国人民银行高县支行",""
"001673051004	","中国人民银行南充市中心支行",""
"001677051008	","中国人民银行雅安市中心支行",""
"001586044000	","中国人民银行汕头市中心支行",""
"001586644009	","中国人民银行揭西县支行",""
"001586944001	","中国人民银行潮州市中心支行",""
"001588044013	","中国人民银行南海支行",""
"001588044030	","中国人民银行三水支行",""
"001715252005	","中国人民银行荔波县支行",""
"001715352001	","中国人民银行贵定县支行",""
"001731053014	","人民银行官渡区支行",""
"001731053039	","人民银行呈贡县支行",""
"001366034008	","中国人民银行淮北市中心支行",""
"001368034009	","中国人民银行安庆市中心支行",""
"001368234001	","中国人民银行怀宁县支行",""
"001368534007	","中国人民银行太湖县支行",""
"001345033004	","中国人民银行台州市中心支行",""
"001362034005	","中国人民银行芜湖市中心支行",""
"001363234000	","中国人民银行五河县支行",""
"001363334003	","中国人民银行固镇县支行",""
"001367034004	","中国人民银行铜陵市中心支行",""
"001343033006	","中国人民银行丽水市中心支行",""
"001361034022	","中国人民银行肥东县支行",""
"001363134001	","中国人民银行怀远县支行",""
"001368334000	","中国人民银行枞阳县支行",""
"001368734006	","中国人民银行望江县支行",""
"001342033001	","中国人民银行舟山市中心支行",""
"001361034014	","中国人民银行长丰县支行",""
"001361034039	","中国人民银行肥西县支行",""
"001362334001	","中国人民银行南陵县支行",""
"001363034002	","中国人民银行蚌埠市中心支行",""
"001362134009	","中国人民银行芜湖县支行",""
"001364034001	","中国人民银行淮南市中心支行",""
"001365034003	","中国人民银行马鞍山市中心支行",""
"001368834004	","中国人民银行岳西县支行",""
"001371034002	","中国人民银行黄山市中心支行",""
"001372534006	","中国人民银行太和县支行",""
"001374234004	","中国人民银行砀山县支行会计股",""
"001374334005	","中国人民银行萧县支行会计股",""
"001375034004	","中国人民银行滁州市中心支行",""
"001375534000	","中国人民银行定远县支行",""
"001371334003	","中国人民银行黟县支行",""
"001374634001	","中国人民银行泗县支行会计股",""
"001375234009	","中国人民银行天长市支行",""
"001375334002	","中国人民银行来安县支行",""
"001375434001	","中国人民银行全椒县支行",""
"001372034001	","中国人民银行阜阳市中心支行",""
"001372434008	","中国人民银行临泉县支行",""
"001375634003	","中国人民银行凤阳县支行",""
"001376034009	","中国人民银行六安市中心支行",""
"001376334000	","中国人民银行寿县支行",""
"001373134007	","中国人民银行界首市支行",""
"001375734007	","中国人民银行明光市支行",""
"001376434003	","中国人民银行霍邱支行",""
"001376534007	","中国人民银行舒城支行",""
"001376634008	","中国人民银行金寨支行",""
"001376734006	","中国人民银行霍山支行",""
"001377134003	","中国人民银行宣城市中心支行",""
"001377234007	","中国人民银行郎溪县支行",""
"001377334008	","中国人民银行广德县支行",""
"001377434006	","中国人民银行宁国市支行",""
"001374534002	","中国人民银行灵璧县支行会计股",""
"001377534004	","中国人民银行泾县支行",""
"001377734009	","中国人民银行绩溪县支行",""
"001377634005	","中国人民银行旌德县支行",""
"001378134008	","中国人民银行巢湖中心支行",""
"001371134001	","中国人民银行歙县支行",""
"001371234000	","中国人民银行休宁支行",""
"001371434007	","中国人民银行祁门支行",""
