CNAPS号,银行名称,地址
************,************,************
"105873201055	","中国建设银行股份有限公司青铜峡铝厂新村支行",""
"105873301023	","中国建设银行股份有限公司中卫东关支行",""
"203883004019	","中国农业发展银行吐鲁番地区分行(不对外营业)",""
"203883304128	","中国农业发展银行托克逊县支行",""
"203884005103	","中国农业发展银行哈密地区分行营业部",""
"203884205116	","中国农业发展银行巴里坤哈萨克自治县支行",""
"203885002100	","中国农业发展银行昌吉回族自治州分行营业部",""
"105709481650	","中国建设银行股份有限公司金沙支行",""
"105711980724	","中国建设银行股份有限公司关岭支行",""
"105741900017	","中国建设银行元江支行",""
"105743000087	","中国建设银行股份有限公司个旧金湖东路支行",""
"105743200021	","中国建设银行股份有限公司开远东风路支行",""
"301110000543	","交通银行天津环湖中路支行",""
"301110000578	","交通银行天津海河支行",""
"301110000594	","交通银行天津湖北路支行",""
"301110000609	","交通银行天津友谊支行",""
"301110000625	","交通银行天津广开支行",""
"105795000169	","中国建设银行股份有限公司咸阳人民中路支行",""
"105795000520	","中国建设银行股份有限公司咸阳七彩阳光支行",""
"105795010022	","中国建设银行股份有限公司咸阳渭阳中路支行",""
"301521008018	","交通银行湖北省分行大东门支行",""
"301522000040	","交通银行黄石分行大桥支行",""
"301456131167	","交通银行股份有限公司烟台蓬莱支行",""
"302584044181	","中信银行股份有限公司深圳龙岗支行",""
"302584044261	","中信银行深圳后海支行",""
"302585049525	","中信银行股份有限公司珠海华发新城支行",""
"302588044759	","中信银行股份有限公司佛山三水支行",""
"302602044832	","中信银行股份有限公司东莞南城支行",""
"304741040761	","华夏银行玉溪支行营业部",""
"304791041704	","华夏银行股份有限公司西安分行",""
"304791041737	","华夏银行西安高新技术开发区支行",""
"304791041761	","华夏银行股份有限公司西安西大街支行",""
"304791052008	","华夏银行股份有限公司西安锦业路支行",""
"305361000023	","中国民生银行股份有限公司合肥分行营业部",""
"305361000058	","中国民生银行股份有限公司合肥双岗支行",""
"305361000082	","中国民生银行股份有限公司合肥金寨路支行",""
"305391015218	","中国民生银行福州大儒世家社区支行",""
"305391025043	","中国民生银行福州江南水都心锐社区支行",""
"305653011017	","中国民生银行股份有限公司重庆分行营业部",""
"305653011025	","中国民生银行股份有限公司重庆南坪支行",""
"305653011033	","中国民生银行股份有限公司重庆高新支行",""
"305653011041	","中国民生银行股份有限公司重庆江北支行",""
"305653011050	","中国民生银行股份有限公司重庆渝中支行",""
"304301040173	","华夏银行南京分行大厂支行",""
"304305040425	","华夏银行苏州新区支行",""
"304305610754	","华夏银行股份有限公司张家港支行",""
"304314111133	","华夏银行股份有限公司丹阳支行",""
"304332227794	","华夏银行股份有限公司宁波宁海支行",""
"305121010155	","中国民生银行股份有限公司石家庄西二环北路支行",""
"305143040019	","中国民生银行股份有限公司沧州分行营业部",""
"304301040124	","华夏银行南京分行城南支行",""
"304301040165	","华夏银行南京分行城西支行",""
"304301042816	","华夏银行南京分行（不对外）",""
"304301042890	","华夏银行南京分行鼓楼支行",""
"304302011182	","华夏银行股份有限公司无锡惠山支行",""
"305100001400	","中国民生银行股份有限公司北京建国门外支行",""
"305100001426	","中国民生银行股份有限公司北京航天桥支行",""
"305100001434	","中国民生银行股份有限公司北京中关村西区支行",""
"305100001467	","中国民生银行股份有限公司北京首体南路支行",""
"305100001539	","中国民生银行股份有限公司北京朝阳北路支行",""
"305331007193	","中国民生银行股份有限公司杭州城西支行",""
"302301032911	","中信银行南京王府支行",""
"302302032291	","中信银行无锡通惠路支行",""
"302302035281	","中信银行无锡胡埭支行",""
"302651041396	","中信银行股份有限公司成都迎宾大道支行",""
"302791025267	","中信银行股份有限公司西安明德门支行",""
"302797025602	","中信银行股份有限公司渭南分行营业部",""
"302821000017	","中信银行股份有限公司兰州分行",""
"302821000050	","中信银行兰州金昌路支行",""
"304100040059	","华夏银行北京灯市口支行",""
"304100040083	","华夏银行北京长安支行",""
