CNAPS号,银行名称,地址
************,************,************
"317110010289	","天津农村商业银行股份有限公司东丽成林道分理处",""
"314401051412	","福建南平农村商业银行股份有限公司茫荡支行",""
"314405494357	","福建上杭农村商业银行股份有限公司太拔支行",""
"314405494453	","福建上杭农村商业银行股份有限公司蛟洋支行",""
"314303400070	","江苏睢宁农村商业银行股份有限公司邱集支行",""
"314303400131	","江苏睢宁农村商业银行股份有限公司梁集支行",""
"314303400367	","江苏睢宁农村商业银行股份有限公司红叶支行",""
"314306667782	","江苏启东农村商业银行股份有限公司城南支行",""
"314312400185	","江苏泰兴农村商业银行股份有限公司天星支行",""
"314312400193	","江苏泰兴农村商业银行股份有限公司过船支行",""
"314312500186	","江苏江都农村商业银行股份有限公司双沟支行",""
"314312500217	","江苏江都农村商业银行股份有限公司宜陵支行",""
"314312500241	","江苏江都农村商业银行股份有限公司麾村支行",""
"314588000065	","广东顺德农村商业银行股份有限公司北窖支行",""
"314588020759	","广东南海农村商业银行股份有限公司大沥支行",""
"314588050013	","佛山农村商业银行股份有限公司",""
"314588051104	","佛山农村商业银行股份有限公司城西支行",""
"314589010312	","江门新会农村商业银行股份有限公司司前支行",""
"315456001905	","恒丰银行烟台银河支行",""
"315456007104	","恒丰银行牟平正阳路支行",""
"315456103104	","恒丰银行蓬莱支行",""
"315456203704	","恒丰银行招远支行温泉河东路分理处",""
"315456204607	","恒丰银行招远支行金晖分理处",""
"319365000107	","徽商银行股份有限公司马鞍山花山支行",""
"319365100152	","徽商银行股份有限公司马鞍山当涂支行",""
"319366004015	","徽商银行股份有限公司淮北相山支行",""
"319366007013	","徽商银行股份有限公司淮北开发区支行",""
"319366010010	","徽商银行股份有限公司淮北烈山支行",""
"320428328794	","南康赣商村镇银行股份有限公司唐江支行",""
"320435216998	","井冈山九银村镇银行有限责任公司茨坪支行",""
"320452366027	","青岛莱西元泰村镇银行股份有限公司李权庄支行",""
"320455000043	","东营莱商村镇银行股份有限公司辛店支行",""
"320455000078	","东营莱商村镇银行股份有限公司辛镇支行",""
"314303000286	","徐州淮海农村商业银行股份有限公司复兴支行",""
"314303000501	","徐州彭城农村商业银行股份有限公司泉河支行",""
"314303100181	","江苏丰县农村商业银行股份有限公司首羡支行",""
"320161016006	","太原市尖草坪区信都村镇银行股份有限公司",""
"320165200028	","盂县汇民村镇银行有限责任公司北村支行",""
"320536204031	","湖北赤壁武农商村镇银行有限责任公司",""
"320537303517	","洪湖融兴村镇银行有限责任公司",""
"320596500010	","兴宁珠江村镇银行股份有限公司",""
"320622162037	","岑溪市北部湾村镇银行有限责任公司义洲大道支行",""
"320624300035	","广西桂平桂银村镇银行股份有限公司商贸城支行",""
"320618300031	","广西兴安民兴村镇银行股份有限公司溶江支行",""
"402165200362	","山西盂县农村商业银行股份有限公司东关街分理处",""
"402165200491	","山西盂县农村商业银行股份有限公司建南分理处",""
"402166101010	","山西长治黎都农村商业银行股份有限公司迎宾支行",""
"402177621002	","洪洞县农村信用合作联社左木信用社",""
"402177700106	","霍州市农村信用合作联社大张信用社",""
"402177700139	","霍州市农村信用合作联社李曹信用社",""
"402177700163	","霍州市农村信用合作联社北村分社",""
"402177800036	","古县农村信用合作联社岳阳信用社",""
"402193000010	","鄂尔多斯农村商业银行股份有限公司乌海支行",""
"402194080205	","赤峰元宝山农村商业银行股份有限公司",""
"402196580331	","阿荣旗农村信用合作联社",""
"402196800048	","内蒙古根河市好里堡农村信用合作社",""
"402199380637	","科尔沁左翼中旗农村信用合作联社",""
"402226500318	","岫岩满族自治县农村信用合作联社兴隆信用社",""
"402226500367	","岫岩满族自治县农村信用合作联社岭沟信用社",""
"402226500391	","岫岩满族自治县农村信用合作联社洋河信用社",""
"402226500422	","岫岩满族自治县农村信用合作联社哨子河信用社",""
"402226522011	","岫岩满族自治县农村信用合作联社营业部",""
"402178700051	","隰县农村信用合作联社东街储蓄所",""
"402178700086	","隰县农村信用合作联社南街储蓄所",""
"402178700168	","隰县农村信用合作联社黄土信用社",""
"402161013335	","太原市城区农村信用合作联社新西客站分社",""
