CNAPS号,银行名称,地址
************,************,************
"402828440328	","天祝县藏族自治县农村信用合作联社天堂分社",""
"402828440416	","天祝县藏族自治县农村信用合作联社松山分社",""
"402828440561	","天祝县藏族自治县农村信用合作联社华藏分社",""
"402828440800	","天祝县藏族自治县农村信用合作联社松林信用社",""
"402829303070	","甘肃陇西农村合作银行三台分理处",""
"402829303088	","甘肃陇西农村合作银行和平分理处",""
"402829303115	","甘肃陇西农村合作银行云田支行",""
"402829303123	","甘肃陇西农村合作银行渭阳分理处",""
"402829303158	","甘肃陇西农村合作银行宏伟分理处",""
"402801602358	","岚皋县农村信用合作联社民主信用社",""
"402801702640	","陕西平利农村商业银行股份有限公司兴隆支行",""
"402801702754	","陕西平利农村商业银行股份有限公司八仙支行",""
"402801802862	","镇坪县农村信用合作联社曾家信用社",""
"402797902871	","白水县农村信用合作联社",""
"402797902919	","白水县农村信用合作联社杜康信用社",""
"402803200499	","洛南县农村信用合作联社八里桥信用社",""
"402803200520	","洛南县农村信用合作联社杨圪崂信用社",""
"402803200587	","洛南县农村信用合作联社寺耳信用社",""
"402803200659	","洛南县农村信用合作联社永丰信用社",""
"402803301130	","丹凤县农村信用合作联社西关信用社",""
"403533000062	","中国邮政储蓄银行有限责任公司湖北省黄冈市青砖湖支行",""
"403533220010	","中国邮政储蓄银行有限责任公司武穴市支行营业部",""
"403533662094	","中国邮政储蓄银行股份有限公司英山县支行营业部",""
"403561400696	","中国邮政储蓄银行有限责任公司湖南省益阳市南县建设街支行",""
"403561501122	","中国邮政储蓄银行有限责任公司桃江县支行",""
"403561601126	","中国邮政储蓄银行有限责任公司湖南省益阳市安化县建设支行",""
"403562081178	","中国邮政储蓄银行有限责任公司湖南省娄底市娄星区娄星南路支行",""
"403563010044	","中国邮政储蓄银行有限责任公司湖南省郴州市国庆路支行",""
"403595200010	","中国邮政储蓄银行股份有限公司博罗县支行",""
"403595300002	","中国邮政储蓄银行惠东支行",""
"403595400003	","中国邮政储蓄银行惠州龙门县支行",""
"403595400054	","中国邮政储蓄银行股份有限公司龙门县东门支行",""
"403596098001	","中国邮政储蓄银行梅州梅县支行",""
"403611001305	","中国邮政储蓄银行股份有限公司隆安县文化街支行",""
"403611001410	","中国邮政储蓄银行有限责任公司南宁市科园大道支行",""
